PacketNumber,Timestamp,Temperature,Pressure,AltitudePressure,Humidity,GPSFix,Latitude,Longitude,AltitudeGPS,SpeedKnots,Angle,ax,ay,az,gx,gy,gz,mx,my,mz,Magheading,yaw,roll,pitch,flightStage,RSSI
746,355.1,28.6,949.1,562.9,40,1,50.48238,6.18066,519.7,0.150,128,1.1081,-0.1902,-9.0444,0.3261,0.0219,0.0135,-20.7581,16.0941,48.6924,226,52,-165,-0,1,-78
747,355.6,28.8,949.4,560.2,40,1,50.48239,6.18066,519.7,0.050,128,1.2821,0.2139,-7.6441,0.0204,0.0784,0.0216,-18.7387,13.5363,48.5726,229,54,-164,-3,1,-76
748,356.0,28.8,949.3,561.0,40,1,50.48239,6.18066,519.7,0.050,128,1.5992,0.4710,-9.4588,-0.1141,0.1788,0.1467,-20.2800,16.0953,47.7807,224,53,-168,-0,1,-77
749,356.5,29.0,949.6,558.5,41,1,50.48238,6.18066,519.7,0.050,128,0.5721,-0.9474,-9.1148,0.6243,-0.3661,0.3955,-20.8277,20.2464,47.3683,227,51,-169,1,1,-83
750,356.9,28.8,949.3,560.6,40,1,50.48238,6.18066,519.7,0.050,128,0.7520,-0.3063,-10.7030,0.1033,0.4723,-0.0017,-21.1955,16.4794,48.1269,226,49,-164,0,1,-79
751,357.3,29.1,949.8,556.6,39,1,50.48239,6.18065,519.7,0.060,128,0.8076,0.1795,-10.7570,0.0045,-0.1090,-0.1639,-22.7968,18.3776,47.9583,225,46,-169,-1,1,-79
752,357.8,28.9,949.5,559.5,40,1,50.48239,6.18065,519.7,0.060,128,1.7613,1.0042,-8.4176,0.0357,0.0491,-0.0970,-21.2965,15.5057,49.5484,226,46,-169,-3,1,-74
753,358.2,29.3,950.0,554.4,40,1,50.48238,6.18067,519.7,0.140,128,0.7827,0.3276,-9.4423,0.0031,0.3888,0.1012,-21.4970,17.4095,48.3849,224,47,-172,-2,1,-76
754,358.7,29.1,949.8,556.3,40,1,50.48238,6.18067,519.7,0.140,128,1.8264,-0.2151,-9.4916,0.1577,-0.0782,0.0307,-16.4534,14.8121,49.7141,260,54,-172,-15,1,-76
755,359.1,29.3,950.0,554.6,40,1,50.48238,6.18067,519.7,0.140,128,1.4962,1.1334,-8.3695,0.0955,0.6555,0.2132,-19.6767,14.6008,49.0178,241,53,-172,-10,1,-77
756,359.6,29.1,949.9,556.1,40,1,50.48239,6.18067,519.7,0.030,128,1.0928,0.5539,-8.7827,0.1964,0.1599,0.1325,-19.1241,12.7589,49.7110,239,53,-172,-11,1,-75
757,360.0,29.4,950.1,553.6,40,1,50.48239,6.18067,519.7,0.030,128,1.3176,0.6404,-8.6688,-0.1643,0.0284,-0.3770,-19.5997,14.9671,48.9127,223,60,-178,-4,1,-75
758,360.5,29.1,949.8,556.7,43,1,50.48239,6.18069,519.7,0.060,128,0.8703,-0.8822,-9.0033,-0.4676,0.1501,-0.1329,-24.9942,18.0285,48.5817,206,72,167,-3,1,-84
759,360.9,29.0,949.7,557.8,41,1,50.48239,6.18069,519.7,0.060,128,0.2692,-5.2107,-8.2979,-3.2680,0.1744,-2.3848,-24.9248,26.8092,44.7960,198,90,146,3,1,-79
760,361.4,30.3,951.5,541.8,42,1,50.48239,6.18070,519.7,0.100,128,-4.0958,-8.7086,3.5598,-1.8093,0.0824,0.8195,-41.5334,40.0250,0.4075,142,84,75,24,1,-77
761,361.8,29.9,950.9,546.7,41,1,50.48239,6.18070,519.7,0.100,128,1.1626,-6.5497,8.3642,-0.9362,-0.5219,3.3446,-9.5174,47.7706,-22.3448,113,119,43,-24,1,-70
762,362.3,30.6,952.0,536.9,41,1,50.48239,6.18072,519.7,0.130,128,2.3139,-2.6229,9.2528,-2.7117,0.3111,3.1982,-2.8568,40.4070,-30.1666,109,130,38,-15,1,-72
763,362.7,27.6,947.6,575.9,40,1,50.48239,6.18072,519.7,0.130,128,0.3035,0.3051,9.6812,0.8424,1.0179,0.0917,4.8310,32.6695,-34.3661,112,126,37,-21,1,-68
764,363.2,27.9,948.0,572.1,40,1,50.48239,6.18072,519.7,0.130,128,2.2109,1.2637,9.3314,0.1983,0.1344,0.0170,12.3256,32.5529,-31.8429,87,136,19,-19,1,-70
765,363.6,27.7,947.7,574.9,40,1,50.48240,6.18071,519.7,0.090,128,1.9116,-1.3443,9.5603,0.2500,-0.0816,-0.0035,9.5430,35.5702,-31.0667,90,140,25,-16,1,-70
766,364.0,28.0,948.1,571.2,41,1,50.48240,6.18071,519.7,0.090,128,2.7245,-0.6879,9.4300,0.0558,0.0424,0.0218,10.1136,35.5273,-30.7975,88,145,26,-16,1,-71
767,364.5,27.6,947.5,576.8,40,1,50.48240,6.18070,519.7,0.130,128,4.5668,0.7483,8.8983,-0.0486,0.1909,0.0696,12.4817,33.5613,-29.1930,87,149,24,-20,1,-68
768,364.9,27.8,947.7,574.6,41,1,50.48240,6.18070,519.7,0.130,128,1.9210,-1.4154,10.4184,-0.0490,0.1686,0.5474,11.4040,36.2520,-29.5405,80,171,27,-14,1,-65
769,365.4,27.2,946.9,581.8,40,1,50.48240,6.18070,519.7,0.010,128,0.6987,-1.3455,8.7034,-0.2407,0.1469,0.2267,7.9890,33.7626,-32.6725,80,192,27,-7,1,-71
770,365.8,27.4,947.1,580.0,39,1,50.48240,6.18070,519.7,0.010,128,1.1862,-2.2188,9.8948,1.5464,0.3081,1.0713,8.6063,31.9038,-33.2917,84,207,27,-8,1,-67
771,366.3,27.1,946.8,583.3,40,1,50.48240,6.18069,519.7,0.020,128,0.8573,-5.8885,7.7080,0.7072,-0.0985,0.5571,17.4494,36.7177,-27.0148,46,232,45,-12,1,-74
772,366.7,27.5,947.2,579.1,40,1,50.48240,6.18069,519.7,0.020,128,0.1580,-4.7972,6.6786,0.5294,-0.0776,-0.0410,16.4773,39.7325,-24.7380,48,231,44,-4,1,-65
773,367.1,27.2,946.9,582.2,40,1,50.48240,6.18069,519.7,0.020,128,-1.3802,-2.3183,9.8690,-1.0186,0.8024,-1.0151,7.8750,34.4273,-33.0461,81,199,15,-4,1,-66
774,367.6,27.5,947.2,579.2,41,1,50.48240,6.18068,519.7,0.110,128,0.4349,-2.4783,8.9323,-1.0692,-1.2220,1.9830,21.9829,16.5635,-34.0179,68,231,2,-24,1,-72
775,368.0,27.3,947.0,580.8,40,1,50.48240,6.18068,519.7,0.110,128,-2.0192,-0.9865,9.7516,-0.1767,-0.1211,2.0182,8.5638,0.3862,-40.0895,140,303,-15,-22,1,-64
776,368.5,27.8,947.7,575.4,38,1,50.48241,6.18068,519.7,0.190,128,0.2160,-0.7708,10.9524,0.6210,-0.3598,0.7994,-6.0422,-6.0715,-40.2096,303,333,-7,13,1,-73
777,368.9,28.4,948.5,567.7,40,1,50.48241,6.18068,519.7,0.190,128,-0.1272,2.5908,8.4288,-0.4946,0.0017,-0.0657,-9.6881,-19.1672,-33.3796,247,339,-5,3,1,-65
778,369.4,28.8,949.2,561.5,39,1,50.48241,6.18067,519.7,0.040,128,0.7461,-0.2281,9.5204,-0.9069,-0.2919,-1.0807,-5.2398,-9.9076,-39.1339,248,323,-14,2,1,-66
779,369.8,27.9,947.8,574.2,40,1,50.48241,6.18067,519.7,0.040,128,-1.2252,4.2319,9.2997,1.5958,-0.7161,-2.1969,8.8609,-9.6788,-37.3409,285,280,5,-8,1,-70
780,370.2,28.2,948.3,569.4,41,1,50.48241,6.18066,519.7,0.140,128,1.0655,-2.9570,10.9841,-0.6361,1.4961,-2.6309,9.9801,23.1345,-38.3186,87,218,-18,-12,1,-64
781,370.7,27.9,947.9,573.2,41,1,50.48241,6.18066,519.7,0.140,128,1.3081,1.2305,7.6963,1.8496,0.9703,-2.9029,-14.7083,26.0110,-39.5737,98,152,13,16,1,-60
782,371.1,27.8,947.7,575.2,41,1,50.48241,6.18066,519.7,0.140,128,1.5933,-3.9275,10.1284,-0.9031,1.0774,-3.3715,-27.4736,10.5889,-38.3001,23,85,55,52,1,-65
783,371.6,28.2,948.4,569.2,38,1,50.48242,6.18066,519.7,0.110,128,1.1992,1.0966,9.0779,-0.2283,0.2994,-3.0398,2.7982,-6.5548,-39.7562,352,292,-51,48,1,-58
784,372.0,29.4,950.0,554.7,42,1,50.48242,6.18066,519.7,0.110,128,0.1864,1.6405,9.8538,-0.1174,-0.0859,-2.5712,14.2816,8.5439,-39.4275,90,262,-57,-21,1,-64
785,372.5,28.1,948.2,570.8,40,1,50.48242,6.18066,519.7,0.080,128,-1.1755,-3.9595,9.6401,2.0177,-0.1548,-0.6356,2.6030,32.0573,-36.6323,141,225,-37,-62,1,-73
786,372.9,28.0,948.1,571.7,41,1,50.48242,6.18066,519.7,0.080,128,-0.9531,1.1132,7.4310,0.6213,0.2902,3.7130,11.9574,14.6126,-40.0540,82,279,-57,-13,1,-70
787,373.4,28.1,948.2,570.6,41,1,50.48243,6.18066,519.7,0.080,128,-0.2124,2.2626,9.2985,0.7239,-3.8067,2.7331,-1.5299,-9.9229,-38.4038,341,337,-11,42,1,-63
788,373.8,27.9,947.9,573.1,40,1,50.48243,6.18066,519.7,0.080,128,-1.1826,-1.2081,10.1179,0.1586,-2.1525,0.8624,-17.0296,-7.7723,-37.6088,337,38,20,47,1,-59
789,374.3,28.2,948.3,569.4,39,1,50.48244,6.18066,519.7,0.160,128,2.1683,0.4579,9.2704,1.3376,0.3890,-0.5857,-13.9361,-3.9513,-41.1986,346,28,26,48,1,-62
790,374.7,28.0,948.0,572.6,40,1,50.48244,6.18066,519.7,0.160,128,-0.8549,1.2258,10.2294,-0.8102,1.4315,-0.9166,-10.0560,-8.1557,-39.1289,336,357,3,36,1,-74
791,375.1,28.1,948.2,570.4,40,1,50.48244,6.18066,519.7,0.160,128,-0.5910,-0.7495,12.0323,-0.4663,-1.4685,-1.1266,-0.9559,-8.1235,-38.9574,340,327,-25,28,1,-64
792,375.6,28.4,948.6,567.3,40,1,50.48244,6.18067,519.7,0.200,128,0.9011,0.4544,9.1659,0.6087,0.6319,-1.0885,7.5086,-4.5454,-38.7967,352,295,-33,20,1,-63
793,376.1,28.5,948.8,565.3,41,1,50.48244,6.18067,519.7,0.200,128,-0.0858,1.3585,9.0391,-0.0116,-0.2103,-0.7829,13.8551,5.0522,-38.6267,30,276,-20,3,1,-70
794,376.5,28.3,948.3,569.3,40,1,50.48246,6.18068,519.7,0.180,128,1.7317,0.8253,11.3457,-0.0605,0.5682,0.8955,15.1766,4.4295,-37.5825,26,275,-41,13,1,-67
795,376.9,28.4,948.6,567.1,39,1,50.48246,6.18068,519.7,0.180,128,-1.1105,1.1381,9.5157,-1.0544,0.6137,2.1694,-0.1681,-12.1071,-36.5680,339,329,-35,33,1,-60
796,377.4,28.1,948.2,571.0,40,1,50.48246,6.18068,519.7,0.120,128,0.2550,-0.6784,9.0027,0.1100,-1.5044,0.9469,-4.1811,-6.0483,-40.3020,335,13,-1,23,1,-64
797,377.8,28.4,948.5,568.0,40,1,50.48246,6.18068,519.7,0.120,128,-1.6737,0.0219,11.2740,1.5619,1.6619,-0.7977,-18.9530,-9.7426,-38.3161,275,11,-4,30,1,-64
798,378.3,28.3,948.4,568.7,39,1,50.48246,6.18068,519.7,0.070,128,0.5414,0.6499,10.2540,-0.9224,-0.7787,-1.7020,5.2497,-1.5404,-41.0117,359,330,3,16,1,-61
799,378.7,28.3,948.4,568.5,41,1,50.48246,6.18068,519.7,0.070,128,1.1140,-0.2151,9.8303,0.8400,-0.3025,-1.9222,14.3995,2.3545,-39.2264,10,282,-11,3,1,-64
