time_s,yaw_deg,pitch_deg,roll_deg
2502,276,-20,-3
2502,275,-15,0
2503,280,-12,-2
2503,275,-10,-2
2504,272,-9,-4
2504,267,-9,2
2505,263,-10,-1
2505,255,-11,3
2505,252,-11,4
2506,247,-12,6
2506,241,-12,8
2507,236,-13,8
2507,227,-13,12
2508,221,-15,15
2508,215,-13,15
2509,208,-15,17
2509,201,-12,23
2510,194,-10,24
2510,189,-9,29
2510,182,-8,36
2511,176,-7,39
2511,171,-5,43
2512,165,1,48
2512,160,6,50
2513,155,16,52
2513,151,23,56
2514,149,29,58
2514,147,38,60
2515,147,47,63
2515,145,57,62
2515,148,66,64
2516,151,75,68
2516,167,81,83
2517,234,85,149
2517,48,47,-61
2518,255,29,-61
2518,220,7,56
2519,71,-51,60
2519,32,51,-44
2520,277,40,7
2520,317,-44,-153
2521,171,11,29
2521,135,-29,-96
2521,270,-26,157
2522,16,45,-159
2522,114,13,144
2523,240,32,-107
2523,298,-24,151
2524,53,62,-146
2524,160,13,176
2525,274,15,142
2525,90,53,-125
2526,193,3,-179
2526,277,58,103
2527,124,31,-160
2527,224,-7,120
2528,341,44,135
2528,147,16,-79
2528,260,-34,172
2529,24,-19,127
2529,322,67,6
2530,193,19,-34
2530,141,-55,-117
2531,323,-34,148
2531,304,69,56
2532,160,2,-143
2532,278,-2,-147
2533,7,0,108
2533,98,45,-119
2534,158,-15,169
2534,267,67,-147
2534,294,-11,-45
2535,184,18,-27
2535,69,19,-55
2536,346,-46,-71
2536,210,-24,15
2537,144,83,-18
2537,72,5,-30
2538,325,-82,13
2538,184,20,94
2539,295,47,-116
2539,10,-10,168
2540,127,6,107
2540,232,47,-115
2540,344,-14,-140
2541,130,-43,77
2541,29,33,45
2542,191,30,-130
2542,312,-2,-134
2543,173,-74,53
2543,103,8,16
2544,17,46,58
2544,171,19,-130
2545,250,-20,142
2545,332,4,-139
2546,169,-69,48
2546,99,-8,7
2546,25,-18,-63
2547,277,-6,-19
2547,203,12,46
2548,57,82,-31
